year,auth,titl
2016,Carvalho Junior,Understanding cloud support for the audience participation concert performance of crowd in c\[loud\]
2016,Chang,Electromagnetically actuated acoustic amplitude modulation synthesis
2016,Cherston,Musician and mega-machine: Compositions driven by real-time particle collision data from the atlas detector
2016,Dabin,3D modelling and printing of microtonal flutes
2016,Eyes,How to stop sound: Creating a light instrument and ‘interruption’ a piece for the mimerlaven, norberg festival 2015.
2016,Gómez,Designing a flexible workflow for complex real-time interactive performances
2016,Gimenes,Frontiers: Expanding musical imagination with audience participation
2016,Greenhill,Focal : An eye-tracking musical expression controller
2016,Héon-Morissette,Transdisciplinary methodology: From theory to the stage, creation for the SICMAP
2016,Hindle,Hacking nimes
2016,Hofmann,Development of fibre polymer sensor Reeds for saxophone and clarinet
2016,Hofmann,Csound instruments on stage
2016,Hope,Headline grabs for music: The development of the iPad score generator for ‘loaded (nsfw)’
2016,Huberth,Notation for 3D motion tracking controllers: A gametrak case study
2016,Jaimovich,Emovere: Designing sound interactions for biosignals and dancers
2016,Jakobsen,Hitmachine: Collective musical expressivity for novices
2016,James,A multi-point 2D interface: Audio-rate signals for controlling complex multi-parametric sound synthesis
2016,Jathal,The handsolo: A hand drum controller for natural rhythm entry and production
2016,Jensenius,Trends at nime—reflections on editing a nime reader
2016,Johnson,Speaker.motion: A mechatronic loudspeaker system for live spatialisation
2016,Jordà,Drumming with style: From user needs to a working prototype
2016,Kapur,MalletOTon and the modulets: Modular and extensible musical robots
2016,Kleinberger,Dooremi: A doorway to music
2016,Lähdeoja,Active acoustic instruments for electronic chamber music
2016,Larsen,The prospects of musical instruments for people with physical disabilities
2016,Laurenzo,5500: Performance, control, and politics
2016,Lee,Live writing : Writing as a real-time audiovisual performance
2016,Leitman,Music maker: 3d printing and acoustics curriculum
2016,Lind,Mapping everyday objects to digital materiality in the wheel quintet: Polytempic music and participatory art
2016,Lindell,Materiality for musical expressions: An approach to interdisciplinary syllabus development for nime
2016,Long,The closed-loop robotic glockenspiel: Improving musical robots with embedded musical information retrieval
2016,Long,An analogue interface for musical robots
2016,Lynch,SensorChimes: Musical mapping for sensor networks
2016,McPherson,Action-sound latency: Are our tools fast enough?
2016,Meacham,The laptop accordion
2016,Michon,Augmenting the iPad: The bladeaxe
2016,Milne,XronoMorph: Algorithmic generation of perfectly balanced and well-formed rhythms
2016,Nagashima,Multi rubbing tactile instrument
2016,Nakanishi,NAKANISYNTH: An intuitive freehand drawing waveform synthesiser application for iOS devices
2016,Nash,The ’e’ in qwerty: Musical expression with old computer interfaces
2016,Normark,The extended clarinet
2016,Nort,Towards a mappable database of emergent gestural meaning
2016,Nuanàin,An interactive software instrument for real-time rhythmic concatenative synthesis
2016,Oda,The global metronome: Absolute tempo sync for networked musical performance
2016,Olowe,ResidUUm: User mapping and performance strategies for multilayered live audiovisual generation
2016,Olson,Transforming 8-bit video games into musical interfaces via reverse engineering and augmentation
2016,Ozdemir,PORTAL: An audiovisual laser performance system
2016,Paine,Now
2016,Reid,Minimally invasive gesture sensing interface (migsi) for trumpet
2016,Resch,Controlling complex virtuel instruments—a setup with note  for max and prepared piano sound synthesis
2016,Rieger,Driftwood: Redefining sound sculpture controllers
2016,Söderberg,Music aid—towards a collaborative experience for deaf and hearing people in creating music
2016,Schlei,PourOver: A sensor-driven generative music platform
2016,Schlienger,Acoustic localisation for spatial reproduction of moving sound source: Application scenarios & proof of concept
2016,Sello,The hexenkessel: A hybrid musical instrument for multimedia performances
2016,Shapiro,BlockyTalky: A physical and distributed computer music toolkit for kids
2016,Shaw,Unfoldings: Multiple explorations of sound and space
2016,Sheffield,The haptic capstans: Rotational force feedback for music using a firefader derivative device
2016,Smallwood,Coronium 3500: A solarsonic installation for caramoor
2016,Soraghan,Towards a perceptual framework for interface design in digital environments for timbre manipulation
2016,Tahiroglu,Non-intrusive counter-actions: Maintaining progressively engaging interactions for music performance
2016,Vickery,Rhizomatic approaches to screen-based music notation
2016,Vindriis,StrumBot—an overview of a strumming guitar robot
2016,Volioti,X2Gesture: How machines could learn expressive gesture variations of expert musicians
2016,Waite,Church belles: An interactive system and composition using real-world metaphors
2016,Wang,Game design for expressive mobile music
2016,Wu,Evaluating the audience’s perception of real-time gestural control and mapping mechanisms in electroacoustic vocal performance
2016,Xiao,Kinéphone: Exploring the musical potential of an actuated pin-based shape display
2016,Zhang,A web application for audience participation in live music performance: The open symphony use case
2017,Rooyen,Voice coil actuators for percussion robotics
2017,Donneaud,Designing a multi-touch eTextile for music performances
2017,Williams,BEADS extended actuated digital shaker
2017,Michon,Passively augmenting mobile devices towards hybrid musical instrument design
2017,Eldridge,Self-resonating feedback cello: Interfacing gestural and generative processes in improvised performance
2017,Haddad,Fragile instruments: Constructing destructible musical interfaces
2017,Heller,An augmented flute for beginners
2017,Isaac,Cross-modal terrains: Navigating sonic space through haptic feedback
2017,Wu,Towards robust tracking with an unreliable motion sensor using machine learning
2017,Barbosa,Sounding architecture: Inter-disciplinary studio at hku
2017,Matus Lerner,Osiris: A liquid based digital musical instrument
2017,Stasis,Navigating descriptive sub-representations of musical timbre
2017,Williams,Pitch fork: A novel tactile digital musical instrument
2017,Erdem,Biostomp: A biocontrol system for embodied performance using mechanomyography
2017,Knudsen,Audio-visual feedback for self-monitoring posture in ballet training
2017,Lindell,Augmented embodied performance extended artistic room, enacted teacher, and humanisation of technology
2017,Vetter,Homo restis - constructive control through modular string topologies
2017,Barbosa,Exploring playfulness in nime design: The case of live looping tools
2017,Manesh,Exquisite score: A system for collaborative musical composition
2017,Stenslie,Somatic sound in performative contexts
2017,Larsen,States and sound: Modelling interactions with musical user interfaces
2017,Xia,Improvised duet interaction: Learning improvisation techniques for automatic accompaniment
2017,Dahlstedt,Physical interactions with digital strings - a hybrid approach to a digital keyboard instrument
2017,Roberts,Gibberwocky: New live-coding instruments for musical performance
2017,Leitman,Current iteration of a course on physical interaction design for music
2017,Hofmann,From interface design to the software instrument - mapping as an approach to fx-instrument building
2017,Marchini,Rethinking reflexive looper for structured pop music
2017,Zappi,Shader-based physical modelling for the design of massive digital musical instruments
2017,Johnson,VRMin: Using mixed reality to augment the theremin for musical tutoring
2017,Graham,Exploring pitch and timbre through 3D spaces: Embodied models in virtual reality as a basis for performance systems design
2017,Gurevich,Discovering instruments in scores: A repertoire-driven approach to designing new interfaces for musical expression
2017,Cantrell,Designing intent: Defining critical meaning for nime practitioners
2017,Vasquez,Idiomatic composition practices for new musical instruments: Context, background and current applications
2017,Berthaut,Revgest: Augmenting gestural musical instruments with revealed virtual objects
2017,Troyer,MM-rt: A tabletop musical instrument for musical wonderers
2017,Morreale,Design for longevity: Ongoing use of instruments from nime 2010-14
2017,Delalez,Vokinesis: Syllabic control points for performative singing synthesis
2017,Young,A qualitative analysis of haptic feedback in music focused exercises
2017,He,Towards related-dedicated input devices for parametrically rich mechatronic musical instruments
2017,Blatherwick,Design considerations for instruments for users with complex needs in sen settings
2017,Hindle,Performance with an electronically excited didgeridoo
2017,Zbyszyski,Rapid prototyping of new instruments with codecircle
2017,Visi,A knowledge-based, data-driven method for action-sound mapping
2017,Salazar,ChuckPad: Social coding for computer music
2017,Berndt,AmbiDice: An ambient music interface for tabletop role-playing games
2017,Ferguson,Sound design for a system of 1000 distributed independent audio-visual devices
2017,Vogl,An intelligent drum machine for electronic dance music production and performance
2017,Jensen,A low-cost mri compatible keyboard
2017,Lee,Live coding youtube: Organizing streaming media for an audiovisual performance
2017,Kiratli,HIVE: An interactive sculpture for musical expression
2017,Blessing,The joystyx: A quartet of embedded acoustic instruments
2017,Wakefield,A virtual machine for live coding language design
2017,Davis,The feral cello: A philosophically informed approach to an actuated instrument
2017,Bernardo,O soli mio: Exploring millimeter wave radar for musical interaction
2017,Levican,Insight2OSC: Using the brain and the body as a musical instrument with the emotiv insight
2017,Smith,ArraYnger: New interface for interactive 360 spatialization
2017,Murray-Leslie,The liberation of the feet: Demaking the high heeled shoe for theatrical audio-visual expression
2017,Rose,SALTO: A system for musical expression in the aerial arts
2017,Baalman,Wireless sensing for artistic applications, a reflection on sense/stage to motivate the design of the next stage
2017,Bukvic,Glasstra: Exploring the use of an inconspicuous head mounted display in a live technology-mediated music performance
2017,Barton,Cyther: A human-playable, self-tuning robotic zither
2017,Liang,Piano pedaller: A measurement system for classification and visualisation of piano pedalling techniques
2017,Long,A closed-loop control system for robotic hi-hats
2017,Kountouras,Gestus: Teaching soundscape composition and performance with a tangible interface
2017,Tez,Exploring the effect of interface constraints on live collaborative music improvisation
2017,Wicaksono,FabricKeyboard: Multimodal textile sensate media as an expressive and deformable musical interface
2017,Konovalovs,A wearable foot-mounted / instrument-mounted effect controller: Design and evaluation
2017,Chang,Nonlinear acoustic synthesis in augmented musical instruments
2017,Hajdu,From atmosphere to intervention: The circular dynamic of installations in hospital waiting areas
2017,Brown,A user experience review of music interaction evaluations
2017,Siegel,Conducting sound in space
2017,Salazar,The fragment string
2017,Jong,Ghostfinger: A novel platform for fully computational fingertip controllers
2017,Armitage,The finer the musician, the smaller the details: NIMEcraft under the microscope
2017,Mehes,Virtual-acoustic instrument design: Exploring the parameter space of a string-plate model
2017,Bouillot,SATIE: A live and scalable 3D audio scene rendering environment for large multi-channel loudspeaker configurations
2017,Scurto,Shaping and exploring interactive motion-sound mappings using online clustering techniques
2017,Bhumber,A responsive user body suit (rubs)
2017,Hjlund,Applying the ebu r128 loudness standard in live-streaming sound sculptures
2017,Berdahl,Spatial audio approaches for embedded sound art installations with loudspeaker line arrays
2017,Keenan,Design and evaluation of a digital theatre wind machine
2017,Hattwick,Design of hardware systems for professional artistic applications
2017,Jensenius,Exploring the myo controller for sonic microinteraction
2017,Tilbian,Stride for interactive musical instrument design
2017,Fernandez,GeKiPe, a gesture-based interface for audiovisual performance
2017,Larsen,Hear you later alligator: How delayed auditory feedback affects non-musically trained people’s strumming
2017,Mulshine,OOPS: An audio synthesis library in c for embedded (and other) applications
2017,Kallionp,Composing and realising a game-like performance for disklavier and electronics
2017,Magnusson,Contextualizing musical organics: An ad-hoc organological classification approach
2017,Fasciani,Physical audio digital filters
2017,Taylor,A history of the audience as a speaker array
2017,Ogata,Robotically augmented electric guitar for shared control
2017,Neill,The mutantrumpet
2017,Smallwood,Locus sono: A listening game for nime
2017,Polfreman,Rubik’s cube, music’s cube
2017,Martin,MicroJam: An app for sharing tiny touch-screen performances
2017,Nakagawa,AEVE: An audiovisual experience using vrhmd and eeg
2017,Cadiz,Arcontinuo: The instrument of change
2017,Blazey,Kalimbo: An extended thumb piano and minimal control interface
2017,Tilbian,Stride on saturn m7 for interactive musical instrument design
2017,Kitahara,JamSketch: A drawing-based real-time evolutionary improvisation support system
2017,Harrison,An adapted bass guitar for one-handed playing
2017,Cybulski,Feedboxes
2017,Glickman,Music everywhere - augmented reality piano improvisation learning system
2017,Bender,Song kernel - explorations in intuitive use of harmony
2018,Brandtsegg,Working methods and instrument design for cross-adaptive sessions
2018,Egozy,\*12\*: Mobile phone-based audience participation in a chamber music performance
2018,Lind,Animated notation in multiple parts for crowd of non-professional performers
2018,Brown,Interacting with musebots
2018,Kiefer,Towards new modes of collective musical expression through audio augmented reality
2018,Matsuura,Aphysical unmodeling instrument: Sound installation that re-physicalizes a meta-wind-instrument physical model, whirlwind
2018,Holbrook,An approach to stochastic spatialization - a case of hot pocket
2018,Champion,AM mode: Using am and fm synthesis for acoustic drum set augmentation
2018,Haddad,Kinesynth: Patching, modulating, and mixing a hybrid kinesthetic synthesizer.
2018,Marogna,CABOTO: A graphic-based interactive system for composing and performing electronic music
2018,Oliveira da Silveira,The xt synth: A new controller for string players
2018,Bin,Risky business: Disfluency as a design strategy
2018,Gibson,The theremin textural expander
2018,Toka,Siren: Interface for pattern languages
2018,Salazar,Developing a performance practice for mobile music technology
2018,Momeni,MOM: An extensible platform for rapid prototyping and design of electroacoustic instruments
2018,Robertson,Harmonic wand: An instrument for microtonal control and gestural excitation
2018,Macionis,Sansa: A modified sansula for extended compositional techniques using machine learning
2018,Turchet,Demo of interactions between a performer playing a smart mandolin and audience members using musical haptic wearables
2018,Kemper,Mechatronic expression: Reconsidering expressivity in music for robotic instruments
2018,Brown,Interactive tango milonga: Designing dmis for the social dance context
2018,Kleinberger,Vocal musical expression with a tactile resonating device and its psychophysiological effects
2018,Palsbrker,A framework for modular vst-based nimes using eda and dependency injection
2018,Atherton,Chunity: Integrated audiovisual programming in unity
2018,Ianigro,Exploring continuous time recurrent neural networks through novelty search
2018,Bowers,All the noises: Hijacking listening machines for performative research
2018,Schramm,A polyphonic pitch tracking embedded system for rapid instrument augmentation
2018,Tahiroglu,Contextualising idiomatic gestures in musical interactions with nimes
2018,Hantrakul,GestureRNN: A neural gesture system for the roli lightpad block
2018,Di Donato,Myo mapper: A myo armband to osc mapper
2018,Visi,Real-time motion capture analysis and music interaction with the modosc descriptor library
2018,Arslan,The phone with the flow: Combining touch + optical flow in mobile instruments
2018,Engeln,Multi-touch enhanced visual audio-morphing
2018,amc,GrainTrain: A hand-drawn multi-touch interface for granular synthesis
2018,xia,ShIFT: A semi-haptic interface for flute tutoring
2018,Morreale,NIME identity from the performer’s perspective
2018,Xambo,Who are the women authors in nime?Improving gender balance in nime research
2018,Reid,Women who build things: Gestural controllers, augmented instruments, and musical mechatronics
2018,Jack,Democratising dmis: The relationship of expertise and control intimacy
2018,Marquez-Borbon,The problem of dmi adoption and longevity: Envisioning a nime performance pedagogy
2018,Martin,Composing an ensemble standstill work for myo and bela
2018,Nieva,The t-stick: Maintaining a 12 year-old digital musical instrument
2018,Dewey,MIDI keyboard defined dj performance system
2018,Engum,Democratizing interactive music production over the internet
2018,Charles,Using the axoloti embedded sound processing platform to foster experimentation and creativity
2018,Tsoukalas,Introducing a k-12 mechatronic nime kit
2018,Bennett,Neurythmic: A rhythm creation tool based on central pattern generators
2018,Granger,Evaluating led-based interface for lumanote composition creation tool
2018,Meneses,GuitarAMI and guiart: Two independent yet complementary projects on augmented nylon guitars
2018,Souza Stolfi,Playsound.space: Inclusive free music improvisations using audio commons
2018,Harding,CTRL: A flexible, precision interface for analog synthesis
2018,Beyls,Motivated learning in human-machine improvisation
2018,Chandran,InterFACE: New faces for musical expression
2018,Polfreman,Hand posture recognition: IR, imu and sEMG
2018,Malloch,The digital orchestra toolbox for max
2018,Manaris,JythonMusic: An environment for developing interactive music systems
2018,Leib,Triplexer: An expression pedal with new degrees of freedom
2018,lfarsson,The halldorophone: The ongoing innovation of a cello-like drone instrument
2018,Tsoukalas,L2OrkMote: Reimagining a low-cost wearable controller for a live gesture-centric music performance
2018,Armitage,Crafting digital musical instruments: An exploratory workshop study
2018,Kalo,Individual fabrication of cymbals using incremental robotic sheet forming
2018,McDowell,Haptic-listening and the classical guitar
2018,Harrison,When is a guitar not a guitar? Cultural form, input modality and expertise
2018,Larsen,A longitudinal field trial with a hemiplegic guitarist using the actuated guitar
2018,Stapleton,Co-tuning virtual-acoustic performance ecosystems: Observations on the development of skill and style in the study of musician-instrument relationships
2018,Fish II,Telemetron: A musical instrument for performance in zero gravity
2018,Wilcox,Robotcowboy: 10 years of wearable computer rock
2018,Gonzalez Sanchez,Bela-based augmented acoustic guitars for sonic microinteraction
2018,Lepri,Mirroring the past, from typewriting to interactive art: An approach to the re-design of a vintage technology
2018,Thorn,Alto.Glove: New techniques for augmented violin
2018,Liontiris,Low frequency feedback drones: A non-invasive augmentation of the double bass
2018,Formo,The orchestra of speech: A speech-based instrument system
2018,Weisling,Surveying the compositional and performance practices of audiovisual practitioners
2018,Marasco,Sound opinions: Creating a virtual tool for sound art installations through sentiment analysis of critical reviews
2018,Kritsis,A web-based 3D environment for gestural interaction with virtual music instruments as a steam education tool
2018,Mannone,CubeHarmonic: A new interface from a magnetic 3D motion tracking system to music performance
2018,Kristoffersen,The whammy bar as a digital effect controller
2018,Pond,Timbre tuning: Variation in cello sprectrum across pitches and instruments
2018,Mosher,Tributaries of our lost palpability
2018,Piepenbrink,Embedded digital shakers: Handheld physical modeling synthesizers
2018,Xambo,Live repurposing of sounds: MIR explorations with personal and crowdsourced databases
2018,Sarwate,Performance systems for live coders and non coders
2018,Snyder,The feedback trombone: Controlling feedback in brass instruments
2018,Sheffield,Mechanoise: Mechatronic sound and interaction in embedded acoustic instruments
2018,Pigrem,Do we speak sensor? Cultural constraints of embodied interaction
2018,Salazar,Re-engaging the body and gesture in musical live coding
2018,Berdahl,Widening the razor-thin edge of chaos into a musical highway: Connecting chaotic maps to digital waveguides
2018,Snyder,Neuron-modeled audio synthesis: Nonlinear sound and control
2018,Cdiz,Fuzzy logic control toolkit 2.0: Composing and synthesis by fuzzyfication
2018,Leigh,Guitar machine: Robotic fretting augmentation for hybrid human-machine guitar play
2018,Barton,Robotic percussive aerophone
2018,Villicaa-Shaw,Mechatronic performance in computer music compositions
2007,Karydis,<span class="nocase">Horizontal and Vertical Integration/Segregation in Auditory Streaming: A Voice Separation Algorithm for Symbolic Musical Data</span>
2006,Coco,<span class="nocase">Minimalism and Process Music: A PureData Realization of Pendulum Music</span>
2014,Schlei,<span class="nocase">TC-Data: Extending Multi-touch Interfaces for Generalized Relational Control</span>
2014,Naveda,<span class="nocase">Topos - Toolkit for Pure Data: Exploring the Spatial Features of Dance Gestures for Interactive Musical Applications</span>
2012,Xambo,<span class="nocase">Factors in Human Recognition of Timbre Lexicons Generated by Data Clustering</span>
2018,Hashida,CrestMusePEDB 2nd EDITION: MUSIC PERFORMANCE DATABASE WITH PHRASE INFORMATION
2014,Nichols,<span class="nocase">Sound of Rivers: Stone Drum: A Multimedia Collaboration, with Sonified Data, Computer- processed Narration, and Electric Violin</span>
2013,Gabriel,<span class="nocase">Large Data Sets &amp; Recommender Systems: A Feasible Approach to Learning Music?</span>
2016,Mycroft,<span class="nocase">Visually Representing and Interpreting Multivariate Data for Audio Mixing</span>
2010,Correia,<span class="nocase">AV Clash - Online Tool for Mixing and Visualizing Audio Retrieved From freesound.org Database</span>
2011,Nymoen,<span class="nocase">A Toolbox for Storing and Streaming Music-related Data</span>
2009,Bettens,<span class="nocase">Real-time DTW-based Gesture Recognition External Object for Max/MSP and Puredata</span>
2005,Haus,MX structural metadata as mir tools
2014,Su,<span class="nocase">Resolving Octave Ambiguities: A Cross-dataset Investigation</span>
2007,Bresson,<span class="nocase">Generation and Representation of Data and Events for the Control of Sound Synthesis</span>
2004,Bonardi,<span class="nocase">New Approaches of Theatre and Opera Directly Inspired by Interactive Data-mining</span>
2018,Poddar,<span class="nocase">\#nowplaying-RS: A New Benchmark Dataset for Building Context-Aware Music Recommender Systems</span>
2014,Misawa,<span class="nocase">Data Auditorio: Towards Intense Interaction, an Interactive Hyper-Directional Sound for Play and Ubiquity</span>
2013,Burger,<span class="nocase">Mocap Toolbox - a Matlab Toolbox for Computational Analysis of Movement Data</span>
2018,Garoufis,<span class="nocase">A Collaborative System for Composing Music via Motion Using a Kinect Sensor and Skeletal Data</span>
2018,Guedes,<span class="nocase">Modeling Carnatic Rhythm Generation: a Data Driven Approach Based on Rhythmic Analysis</span>
2015,Demir,<span class="nocase">MEPHISTO: A Source to Source Transpiler From Pure Data to Faust</span>
2018,Blackmore,Data transmission as musical performance
2017,Miron,<span class="nocase">Generating Data to Train Convolutional Neural Networks for Classical Music Source Separation</span>
2017,Hashida,<span class="nocase">Constructing PEDB 2nd Edition: A Music Performance Database with Phrase Information</span>
2009,Schwarz,<span class="nocase">Sound Search by Content-based Navigation in Large Databases</span>
2006,Carpentier,<span class="nocase">Imitative and Generative Orchestrations Using Pre- analysed Sounds Databases</span>
2014,Hu,<span class="nocase">A Study on Cross-cultural and Cross-dataset Generalizability of Music Mood Regression Models</span>
2014,Bowen,<span class="nocase">Mobile Phones as Ubiquitous Instruments: Towards Standardizing Performance Data on the Network</span>
2011,Terasawa,C. Elegans Meets Data Sonification: Can We Hear Its Elegant Movement?
2015,Corona,<span class="nocase">An Exploration of Mood Classification in the Million Songs Dataset</span>
2006,Vicinanza,<span class="nocase">A Java Framework for Data Sonification and 3D Graphic Rendering</span>
2004,Henry,<span class="nocase">Physical Modeling for Pure Data (pmpd) and Real Time Interaction With an Audio Synthesis</span>
2014,Whalley,<span class="nocase">Broadening Telematic Electroacoustic Music by Affective Rendering and Embodied Real-time Data Sonification</span>
2018,Queiroz,<span class="nocase">Relative DTW Embedding for Binary Classification of Audio Data</span>
2014,Carvalho Junior,<span class="nocase">Sensors2PD: Mobile Sensors and WiFi Information as Input for Pure Data</span>
2013,Simurra,<span class="nocase">Mixing Symbolic and Audio Data in Computer Assisted Music Analysis: A Case Study From J. Harvey’s Speakings (2008) for Orchestra and Live Electronics</span>
2014,Bruel,<span class="nocase">A Protocol for Creating Multiagent Systems in Ensemble With Pure Data</span>
2018,Hamanaka,<span class="nocase">GTTM Database and Manual Time-span Tree Generation Tool</span>
2012,Cartwright,<span class="nocase">Building a Music Search Database Using Human Computation</span>
2011,Hermann,The sonification handbook
2011,Hermann,Introduction
2011,Walker,Theory of sonification
2011,Carlile,Psychoacoustics
2011,Neuhoff,Perception, cognition and action in auditory display
2011,Serafin,Sonic interaction design
2011,Bonebright,Evaluation of auditory display
2011,Barrass,Sonification design and aesthetics
2011,Ferguson,Statistical sonification for exploratory data analysis
2011,Cook,Sound synthesis for auditory display
2011,Bovermann,Laboratory methods for experimental sonification
2011,Hunt,Interactive sonification
2011,Dombois,Audification
2011,Brazil,Auditory icons
2011,McGookin,Earcons
2011,Grond,Parameter mapping sonification
2011,Hermann,Model-based sonification
2011,Edwards,Auditory display in assistive technology
2011,Vickers,Sonification for process monitoring
2011,Guillaume,Intelligent auditory alarms
2011,Brazil,Navigation of data
2011,Höner,Aiding movement with sonification in “exercise, play and sport”
2011,Höner,Multidisciplinary applications of sonification in the field of “exercise, play and sport”
2011,Hunt,Use of sound for physiotherapy analysis and feedback
2011,Röber,Interaction with sound in auditory computer games
2011,Höner,Sonification-based sport games and performance tests in adapted physical activity
2011,Effenberg,Enhancing motor control and learning by additional movement sonification
2011,Parameswaran,Answering queries using humans, algorithms and databases
2010,Agrawal,Generalized uncertain databases: First steps
2009,Agrawal,Asynchronous view maintenance for vlsd databases
2009,Ikeda,Outerjoins in uncertain databases
2009,Koutrika,Conversational databases: Explaining structured queries to users
2007,Sarma,Schema design for uncertain databases
2007,Feder,Distributing data for secure database services
2007,Murthy,Making aggregation work in uncertain and probabilistic databases
2007,Sarma,Exploiting lineage for confidence computation in uncertain and probabilistic databases
2007,Benjelloun,Databases with uncertainty and lineage
2005,Aggarwal,Two can keep a secret: A distributed architecture for secure database services
2005,Benjelloun,ULDBs: Databases with uncertainty and lineage
2003,Su,Indexing relational database content offline for efficient keyword-based search
2001,Yang,Music database retrieval based on spectral similarity
2000,Baralis,Better static rule analysis for active database systems
2000,Giladi,SST: An algorithm for searching sequence databases in time proportional to the logarithm of the database size
1999,Gravano,Generalizing gloss to vector-space databases and broker hierarchies
1999,Cho,Synchronizing a database to improve freshness
1999,Goldman,WSQ/dsq: A practical approach for combined querying of databases and the web
1998,Goldman,Proximity search in databases.
1998,Goldman,Interactive query and search in semistructured databases
1998,Shivakumar,Wave-indices: Indexing evolving databases
1998,Yerneni,Fusion queries over internet databases
1997,McHugh,Lore: A database management system for semistructured data
1997,Abiteboul,Querying documents in object databases
1997,Chawathe,Change management in heterogeneous semistructured databases (demonstration description)
1997,Fordham,Evolving databases: An application to electronic commerce
1997,Goldman,DataGuides: Enabling query formulation and optimization in semistructured databases
1997,Goldman,DataGuides: Enabling query formulation and optimization in semistructured databases.
1997,Hammer,Browsing object databases through the web
1997,Labio,Physical database design in data warehousing
1997,Shivakumar,Wave-indices: Indexing evolving databases
1996,Abiteboul,Temporal versus first-order logic to query temporal databases
1996,Garcia-Molina,DSCAM: Finding document copies across multiple databases
1996,Grefen,Integrity constraint checking in federated databases
1996,Labio,Physical database design for data warehousing
1996,Ullman,The database approach to knowledge representation
1996,Widom,Integrating heterogeneous databases: Lazy or eager?
1996,Widom,The starburst active database rule system
1996,Wiener,Incremental loading of object databases
1995,Aiken,Static analysis techniques for predicting the behavior of database production rules
1995,Adelberg,Database support for efficiently maintained derived data
1995,Baralis,Using delta relations to optimize condition evaluation in active databases
1995,Gravano,Generalizing gloss to vector-space databases and broker hierarchies
1995,Gravano,Generalizing gloss to vector-space databases and broker hierarchies
1995,Ramakrishnan,A survey of research in deductive database systems
1995,Silberschatz,Database research: Achievements and opportunities into the 21st century
1994,Chawathe,Flexible constraint management for autonomous distributed databases
1994,Adelberg,Applying update streams in a soft real-time database system
1994,Baralis,An algebraic approach to rule analysis in expert database systems
1994,Baralis,An algebraic approach to rule analysis in expert database systems
1994,Dayal,Active database systems
1994,Gravano,The effectiveness of gloss for the text-database discovery problem
1994,Gravano,Precision and recall of gloss estimators for database discovery
1994,Gravano,Precision and recall of gloss estimators for database discovery
1994,Gravano,The effectiveness of gloss for the text-database discovery problem.
1994,Grefen,Protocols for integrity constraint checking in federated databases
1994,Hammer,Resolving semantic heterogeneity in a federation of autonomous, heterogeneous database systems.
1994,Hammer,An intelligent system for identifying and integrating non-local objects in federated database systems
1994,Ullman,Assigning an appropriate meaning to database logic with negation
1994,Yan,Integrating a structured-text retrieval system with an object- oriented database system
1993,Hanson,An overview of production rules in database systems
1993,Baralis,Using delta relations to optimize condition evaluation in active databases
1993,Chawathe,Constraint management in loosely coupled distributed databases
1993,Fang,An approach to behavior sharing in federated database systems
1993,Gravano,The efficacy of gloss for the text database discovery problem
1993,Gupta,Local verification of global integrity constraints in distributed databases
1993,Hammer,An approach to resolving semantic heterogeneity in a federation of autonomous, heterogeneous database systems
1993,Kao,An overview of real-time database systems
1993,Tomasic,Caching and database scaling in distributed shared-nothing information retrieval systems
1993,Widom,Deductive and active databases: Two paradigms or ends of a spectrum?
1992,Aiken,Behavior of database production rules: Termination, confluence, and observable determinism
1992,Ceri,Production rules in parallel and distributed database environments
1992,Fang,A mechanism and experimental system for function-based sharing in federated databases
1991,Fang,Remote-exchange: An approach to controlled sharing among autonomous, heterogeneous database systems
1990,Widom,Set-oriented production rules in relational database systems
2012,Parameswaran,Efficient parsing-based keyword search over databases
2013,Parameswaran,SeeDB: Visualizing database queries efficiently
